Questions,Answers,
 What is an abstract class in C++?,A class with at least one pure virtual function is called as abstract class. We cannot instantiate an abstract class.,
 What is a reference variable in C++?,A reference variable is an alias name for the existing variable. Which mean both the variable name and reference variable point to the same memory location. Therefore updation on the original variable can be achieved using reference variable too.,
 What is role of static keyword on class member variable?,A static variable does exit though the objects for the respective class are not created. Static member variable share a common memory across all the objects created for the respective class. A static member variable can be referred using the class name itself.,
 Explain the static member function.,A static member function can be invoked using the class name as it exits before class objects comes into existence. It can access only static members of the class.,
 Name the data type which can be used to store wide characters in C++.,wchar_t,
 What are/is the operator/operators used to access the class members?,Dot (.) and Arrow ( -> ),
 Can we initialize a class/structure member variable as soon as the same is defined?,"No, Defining a class/structure is just a type definition and will not allocated memory for the same.",
 What is the data type to store the Boolean value?,"bool, is the new primitive data type introduced in C++ language.",
 What is function overloading?,Defining several functions with the same name with unique list of parameters is called as function overloading.,
 What is operator overloading?,Defining a new job for the existing operator w.r.t the class objects is called as operator overloading.,
 Do we have a String primitive data type in C++?,"No, its a class from STL (Standard template library).",
 Name the default standard streams in C++.,"cin, cout, cerr and clog.",
 Which access specifier/s can help to achive data hiding in C++?,Private & Protected.,
" When a class member is defined outside the class, which operator can be used to associate the function definition to a particular class?",Scope resolution operator (::),
 What is a destructor? Can it be overloaded?,A destructor is the member function of the class which is having the same name as the class name and prefixed with tilde (~) symbol. It gets executed automatically w.r.t the object as soon as the object loses its scope. It cannot be overloaded and the only form is without the parameters.,
 What is a constructor?,A constructor is the member function of the class which is having the same as the class name and gets executed automatically as soon as the object for the respective class is created.,
 What is a default constructor? Can we provide one for our class?,Every class does have a constructor provided by the compiler if the programmer doesnt provides one and known as default constructor. A programmer provided constructor with no parameters is called as default constructor. In such case compiler doesnt provides the constructor.,
 Which operator can be used in C++ to allocate dynamic memory?,new is the operator can be used for the same.,
 What is the purpose of delete operator?,delete operator is used to release the dynamic memory which was created using new operator.,
 Can I use malloc() function of C language to allocate dynamic memory in C++?,"Yes, as C is the subset of C++, we can all the functions of C in C++ too.",
 Can I use delete operator to release the memory which was allocated using malloc() function of C language?,"No, we need to use free() of C language for the same.",
 What is a friend function?,A function which is not a member of the class but still can access all the member of the class is called so. To make it happen we need to declare within the required class following the keyword friend.,
 What is a copy constructor?,A copy constructor is the constructor which take same class object reference as the parameter. It gets automatically invoked as soon as the object is initialized with another object of the same class at the time of its creation.,
 Does C++ supports exception handling? If so what are the keywords involved in achieving the same.,"C++ does supports exception handling. try, catch & throw are keyword used for the same.",
 Explain the pointer  this.,"This, is the pointer variable of the compiler which always holds the current active objects address.",
 What is the difference between the keywords struct and class in C++?,By default the members of struct are public and by default the members of the class are private.,
 Can we implement all the concepts of OOPS using the keyword struct?,Yes.,
 What is the block scope variable in C++?,A variable whose scope is applicable only within a block is said so. Also a variable in C++ can be declared anywhere within the block.,
 What is the role of the file opening mode ios::trunk?,"If the file already exists, its content will be truncated before opening the file.",
What is the scope resolution operator?,The scope resolution operator is used to: Resolve the scope of global variables. To associate function defination to a class if the function is defined outside the class.,
 What is a namespace?,A namespace is the logical division of the code which can be used to resolve the name conflict of the identifiers by placing them under different name space.,
 What are command line arguments?,The arguments/parameters which are sent to the main() function while executing from the command line/console are called so. All the arguments sent are the strings only.,
 What is a class template?,A template class is a generic class. The keyword template can be used to define a class template.,
 What is keyword auto for?,By default every local variable of the function is automatic (auto). In the below function both the variables i and j are automatic variables.,
 What is a static variable?,A static local variables retains its value between the function call and the default value is 0. The following function will print 1 2 3 if called thrice.,
 What is the purpose of extern storage specifier.,Used to resolve the scope of global symbol,
 What is the meaning of base address of the array?,The starting address of the array is called as the base address of the array.,
 When should we use the register storage specifier?,"If a variable is used most frequently then it should be declared using register storage specifier, then possibly the compiler gives CPU register for its storage to speed up the look up of the variable.",
 Can a program be compiled without main() function?,"Yes, it can be but cannot be executed, as the execution requires main() function definition.",
 Where an automatic variable is stored?,Every local variable by default being an auto variable is stored in stack memory,
 What is a container class?,A class containing at least one member variable of another class type in it is called so.,
 What is a token?,"A C++ program consists of various tokens and a token is either a keyword, an identifier, a constant, a string literal, or a symbol.",
 What is a preprocessor?,Preprocessor is a directive to the compiler to perform certain things before the actual compilation process begins.,
 What are command line arguments?,The arguments which we pass to the main() function while executing the program are called as command line arguments. The parameters are always strings held in the second argument (below in args) of the function which is array of character pointers. First argument represents the count of arguments (below in count) and updated automatically by operating system.,
 What are the different ways of passing parameters to the functions? Which to use when?,Call by value  We send only values to the function as parameters. We choose this if we do not want the actual parameters to be modified with formal parameters but just used.Call by address  We send address of the actual parameters instead of values. We choose this if we do want the actual parameters to be modified with formal parameters.Call by reference  The actual parameters are received with the C++ new reference variables as formal parameters. We choose this if we do want the actual parameters to be modified with formal parameters.,
 What is reminder for 5.0 % 2?,"Error, It is invalid that either of the operands for the modulus operator (%) is a real number.",
 Can we resize the allocated memory which was allocated using new operator?,"No, there is no such provision available.",
 Who designed C++ programming language?,Bjarne Stroustrup.,
 Which operator can be used to determine the size of a data type/class or variable/object?,sizeof,
 How can we refer to the global variable if the local and the global variable names are same?,We can apply scope resolution operator (::) to the for the scope of global variable.,
 What are valid operations on pointers?,The only two permitted operations on pointers are: Comparision ii) Addition/Substraction (excluding void pointers),
 What is recursion?,Function calling itself is called as recursion.,
 What is the first string in the argument vector w.r.t command line arguments?,Program name.,
 What is the maximum length of an identifier?,Ideally it is 32 characters and also implementation dependent.,
 What is the default function call method?,By default the functions are called by value.,
 What are available mode of inheritance to inherit one class from another?,"Public, private & protected",
 What is the difference between delete and delete[]?,Delete[] is used to release the array allocated memory which was allocated using new[] and delete is used to release one chunk of memory which was allocated using new.,
 Does an abstract class in C++ need to hold all pure virtual functions?,"Not necessarily, a class having at least one pure virtual function is abstract class too.",
 Is it legal to assign a base class object to a derived class pointer?,"No, it will be error as the compiler fails to do conversion.",
 What happens if an exception is thrown outside a try block?,The program shall quit abruptly.,
 Are the exceptions and error same?,"No, exceptions can be handled whereas program cannot resolve errors.",
 What is function overriding?,Defining the functions within the base and derived class with the same signature and name where the base classs function is virtual.,
 Which function is used to move the stream pointer for the purpose of reading data from stream?,seekg(),
 Which function is used to move the stream pointer for the purpose of writing data from stream?,seekp(),
 Are class functions taken into consideration as part of the object size?,"No, only the class member variables determines the size of the respective class object.",
 Can we create and empty class? If so what would be the size of such object.,We can create an empty class and the object size will be 1.,
 What is std?,Default namespace defined by C++.,
 What is the full form of STL?,Standard template library,
 What is cout?,cout is the object of ostream class. The stream cout is by default connected to console output device.,
 What is cin?,cin is the object of istream class. The stream cin is by default connected to console input device.,
 What is the use of the keyword using?,It is used to specify the namespace being used in.,
" If a pointer declared for a class, which operator can be used to access its class members?",Arrow (->) operator can be used for the same,
 What is difference between including the header file with-in angular braces < > and double quotes  ,"If a header file is included with in < > then the compiler searches for the particular header file only with in the built in include path. If a header file is included with in \xe2\x80\x9c \xe2\x80\x9c, then the compiler searches for the particular header file first in the current working directory, if not found then in the built in include path",
" S++ or S = S+1, which can be recommended to increment the value by 1 and why?","S++, as it is single machine instruction (INC) internally.",
 What is the difference between actual and formal parameters?,The parameters sent to the function at calling end are called as actual parameters while at the receiving of the function definition called as formal parameters.,
 What is the difference between variable declaration and variable definition?,Declaration associates type to the variable whereas definition gives the value to the variable.,
 Which key word is used to perform unconditional branching?,goto.,
 Is 068 a valid octal number?,"No, it contains invalid octal digits.",
 What is the purpose of #undef preprocessor?,It will be used to undefine an existing macro definition.,
 Can we nest multi line comments in a C++ code?,"No, we cannot.",
 What is a virtual destructor?,A virtual destructor ensures that the objects resources are released in the reverse order of the object being constructed w.r.t inherited object.,
 What is the order of objects destroyed in the memory?,The objects are destroyed in the reverse order of their creation.,
 What is a friend class?,A class members can gain accessibility over other class member by placing the class declaration prefixed with the keyword friend in the destination class.,
What is C++? What are the advantages of C++?,"C++ is an object-oriented programming language that was introduced to overcome the jurisdictions where C was lacking. By object-oriented we mean that it works with the concept of polymorphism, inheritance, abstraction, encapsulation, object, and class.Advantages of C++:C++ is an OOPs language that means the data is considered as objects.C++ is a multi-paradigm language; In simple terms, it means that we can program the logic, structure, and procedure of the program.Memory management is a key feature in C++ as it enables dynamic memory allocationIt is a Mid-Level programming language which means it can develop games, desktop applications, drivers, and kernels",
Define std?,std is also known as Standard or it can be interpreted as a namespace. The command using namespace std informs the compiler to add everything under the std namespace and inculcate them in the global namespace. This all inculcation of global namespace benefits us to use cout and cin without using std::_operator_.,
What are references in C++?,"When a variable is described as a reference it becomes an alias of the already existing variable. In simple terms, a referenced variable is another named variable of an existing variable keeping in mind that changes made in the reference variable will be reflected in the already existing variable. A reference variable is preceded with a & symbol.",
What do you mean by Call by Value and Call by Reference?,"In this programming language to call a function we have 2 methods: Call by Value and Call by ReferenceCall by Value and Call by Reference.In Call by Value a copy of a variable is passed.In Call by reference a variable itself is passed fundamentally.In Call by Value The changes made in the function are never reflected outside the function on the variable. In short, the original value is never altered in Call by Value.In Call by Reference The changes made in the functions can be seen outside the function on the passed function. In short, the original value is altered in Call by reference. In Call by Value Passed actual and formal parameters are stored in different memory locations. Therefore, making Call by Value a little memory insufficient.In Call by reference Passed actual and formal parameters are stored in the same memory location. Therefore, making Call by Reference a little more memory efficient.",
Define token in C++,"A token is the smallest individual element of a program that is understood by a compiler. A token comprises the following:Keywords:That contain a special meaning to the compiler.Identifiers:That hold a unique value/identity.Constants:That never change their value throughout the program.Strings:That contains the homogenous sequence of data.Special Symbols:They have some special meaning and cannot be used for another purpose; eg: [] () {}, ; * = #.Operators:Who perform operations on the operand.",
What is the difference between C and C++?,"C is a procedural programming language. In simple words, it does not support classes and objects.C++ is a mixture of both procedural and object-oriented programming languages. In simple words, it supports classes and objects.C does not support any OOPs concepts like polymorphism, data abstraction, encapsulation, classes, and objects.C++ supports all concepts of data.C does not support Function and Operator Overloading.C++ supports Function and Operator Overloading respectively.C is a function-driven language.C++ is an object-driven language.",
What is the difference between struct and class?,"Members of the struct are always by default public mode.Members of the class can be in private, protected, and public modes.Structure does not support inheritance.Classes do support the concept of inheritance.Structures are of the value type. They only hold value in memory.Classes are of reference type. It holds a reference of an object in memory.The memory in structures is stored as stacks.The memory in classes is stored as heaps.",
What is the difference between reference and pointer?,The value of a reference cannot be reassigned.The value of a pointer can be reassigned.Reference can never hold a null value as it needs an existing value to become an alias of.Pointer can hold or point at a null value and be termed as a nullptr or null pointer.Reference cannot work with arrays.Pointer can work with arrays.To access the members of class/struct reference uses a dot.To access the members of class/struct pointer uses a  ->.The memory location of reference can be accessed easily or it can be used directly.The memory location of a pointer cannot be accessed easily as we have to use a dereference *.,
What is the difference between an array and a list?,Array are contiguous memory locations of homogenous data types stored in a fixed location or size.  Lists are classic individual elements that are linked or connected to each other with the help of pointers and do not have a fixed size.Arrays are static in nature.Lists are dynamic in nature.Array uses less memory than linked lists.List uses more memory as it has to store the value and the pointer memory location.,
What is the difference between a while loop and a dowhile loop?,"While loop is also termed an entry-controlled loop.The do-while loop is termed an exit control loop.In while loop,If the condition is not satisfied the statements inside the loop will not execute. In do-while loop, even if the condition is not satisfied the statements inside the loop will execute for at least one time.",
Discuss the difference between prefix and postfix?,prefix simply means putting the operator before the operand.postfix simply means putting the operator after the operand.prefix executes itself before ;.postfix executes itself after ;.Associativity of prefix ++ is right to left.Associativity of postfix ++ is left to right.,
What is the difference between new and malloc()?,new is an operator which performs an operation. malloc is a function that returns and accepts values.new calls the constructors.malloc cannot call a constructor.new is faster than malloc as it is an operator.malloc is slower than new as it is a function.new returns the exact data type.malloc returns void*.,
What is the difference between virtual functions and pure virtual functions?,"A Virtual Function is a member function of a base class that can be redefined in another derived class.A Pure Virtual Function is a member function of a base class that is only declared in a base class and defined in a derived class to prevent it from becoming an abstract class.A virtual Function has its definition in its respective base class.       There is no definition in Pure Virtual Function and is initialized with a pure specifier(= 0).The base class has a virtual function that can be represented or instanced; In simple words, its object can be made.A base class having pure virtual function becomes abstract that cannot be represented or instanced; In simple words, it means its object cannot be made.",
What are classes and objects in C++?,"A class is a user-defined data type where all the member functions and data members are tailor-made according to demands and requirements in addition to which these all can be accessed with the help of an object. To declare a user-defined data type we use a keyword class.An object is an instance of a class and an entity with value and state; In simple terms, it is used as a catalyst or to represent a class member. It may contain different parameters or none.",
What is Function Overriding?,"When a function of the same name, same arguments or parameters, and same return type already present/declared in the base class is used in a derived class is known as Function Overriding. It is an example of Runtime Polymorphism or Late Binding which means the overridden function will be executed at the run time of the execution.",
What are the various OOPs concepts in C++?,Classes: It is a user-defined datatypeObjects: It is an instance of a classAbstraction: It is a technique of showing only necessary detailsEncapsulation: Wrapping of data in a single unitInheritance: The capability of a class to derive properties and characteristics from another classPolymorphism: Polymorphism is known as many forms of the same thing,
Explain inheritance,"The capability or ability of a class to derive properties and characteristics from another class is known as inheritance. In simple terms, it is a system or technique of reusing and extending existing classes without modifying them.",
When should we use multiple inheritance?,"Multiple inheritances mean that a derived class can inherit two or more base/parent classes. It is useful when a derived class needs to combine numerous attributes/contracts and inherit some, or all, of the implementation from these attributes/contracts. To take a real-life example consider your Parents where Parent A is your DAD Parent B is your MOM and Chid C is you.",
What is virtual inheritance?,"Virtual inheritance is a technique that ensures only one copy of a base classs member variables is inherited by grandchild-derived classes. Or in simple terms, virtual inheritance is used when we are dealing with a situation of multiple inheritances but want to prevent multiple instances of the same class from appearing in the inheritance hierarchy.",
What is polymorphism in C++?,"Polymorphism is known as many forms of the same thing. In simple terms, we can say that Polymorphism is the ability to display a member function in multiple forms depending on the type of object that calls them.In other words, we can also say that a man can be an employee to someone, a son of someone, a father of someone, and a husband of someone; this is how polymorphism can be projected in real life.There is 2 type of polymorphism:Compile Time Polymorphism:Function Overloading and Operator Overloading.Run Time Polymorphism:Function Overriding and Virtual Function.",
What are the different types of polymorphism in C++?,"There is 2 type of polymorphism:Compile Time Polymorphism or Static Binding:This type of polymorphism is achieved during the compile time of the program which results in it making a bit faster than Run time. Also, Inheritance is not involved in it. It is comprised of 2 further techniques:Function Overloading: When there are multiple functions with the same name but different parameters then this is known as function overloading.Operator Overloading: It is basically giving practice of giving a special meaning to the existing meaning of an operator or in simple terms redefining the pre-redefined meaningRun-Time Polymorphism or Late Binding:Run-time polymorphism takes place when functions are invoked during run time.Function Overriding: Function overriding occurs when a base class member function is redefined in a derived class with the same arguments and return type.",
Compare compiletime polymorphism and Runtime polymorphism,Compile-Time Polymorphism is also termed static binding and early binding.Runtime Polymorphism is also termed Dynamic binding and Late binding.Compile-Time Polymorphism is fast because execution is known early at compile time.Runtime Polymorphism is slow as compared to compile-time because execution is known at runtime.Compile-Time Polymorphism is achieved by function overloading and operator overloading.Runtime Polymorphism is achieved by virtual functions and function overriding.,
Explain the constructor in C++.,"A constructor is a special type of member function of a class, whose name is the same as that of the class by whom it is invoked and initializes value to the object of a class.There are 3 types of constructors:A. Default constructor: It is the most basic type of constructor which accepts no arguments or parameters. Even if it is not called the compiler calls it automatically when an object is created.B. Parameterized constructor: It is a type of constructor which accepts arguments or parameters. It has to be called explicitly by passing values in the arguments as these arguments help initialize an object when it is created. It also has the same name as that of the class.Also, It is used to overload constructorsC. Copy Constructor: A copy constructor is a member function that initializes an object using another object of the same class. Also, the Copy constructor takes a reference to an object of the same class as an argument.",
What are destructors in C++?,"Destructors are members of functions in a class that delete an object when an object of the class goes out of scope. Destructors have the same name as the class preceded by a tilde (~)sign. Also, destructors follow a down-to-top approach, unlike constructors which follow a top-to-down.",
What is a virtual destructor?,"When destroying instances or objects of a derived class using a base class pointer object, a virtual destructor is invoked to free up memory space allocated by the derived class object or instance.Virtual destructor guarantees that first the derived class destructor is called. Then the base classs destructor is called to release the space occupied by both destructors in the inheritance class which saves us from the memory leak. It is advised to make your destructor virtual whenever your class is polymorphic.",
Is destructor overloading possible? If yes then explain and if no then why?,"The simple answer is NO we cannot overload a destructor. It is mandatory to only destructor per class in C++. Also to mention, Destructor neither take arguments nor they have a parameter that might help to overload.",
Which operations are permitted on pointers?,Pointers are the variables that are used to store the address location of another variable. Operations that are permitted to a pointer are:Increment/Decrement of a Pointer.Addition and Subtraction of integer to a pointer.Comparison of pointers of the same type.,
What is the purpose of the delete operator?,"The delete operator is used to delete/remove all the characteristics/properties from an object by deallocating its memory; furthermore, it returns true or false in the end. In simple terms, it destroys or deallocates array and non-array(pointer) objects which are created by new expressions.",
How delete [] is different from delete?,"delete[] is used for deleting a whole array.delete is used to delete only one single pointer.delete[] is used for deleting the objects of new[]; By this, we can say that delete[] is used to delete an array of objects.delete is used for deleting the objects of new; By this, we can say that delete is used to delete a single object.delete[] can call as many destructors it wants.delete can only call the destructor of a class once",
What do you know about friend class and friend function?,"A friend class is a class that can access both the protected and private variables of the classes where it is declared as a friend.A friend function is a function used to access the private, protected, and public data members or member functions of other classes. It is declared with a friend keyword. The advantage of a friend function is that it is not bound to the scope of the class and once it is declared in a class, furthermore to that, it cannot be called by an object of the class; therefore it can be called by other functions. Considering all the mentioned points we can say that a friend function is a global function.",
What is an Overflow Error?,"Overflow Error occurs when the number is too large for the data type to handle. In simple terms, it is a type of error that is valid for the defined but exceeds used the defined range where it should coincide/lie.For example, the range of int data type is 2,147,483,648 to 2,147,483,647 and if we declare a variable of size 2,247,483,648 it will generate a overflow error.",
What does the Scope Resolution operator do?,A scope resolution operator is denoted by a :: symbol. Just like its name this operator resolves the barrier of scope in a program. A scope resolution operator is used to reference a member function or a global variable out of their scope furthermore to which it can also access the concealed variable or function in a program.Scope Resolution is used for numerous amounts of tasks:To access a global variable when there is a local variable with the same nameTo define the function outside the classIn case of multiple inheritancesFor namespace,
What are the C++ access modifiers?,The access restriction specified to the class members( whether it is member function or data member) is known as access modifiers/specifiers.Access Modifiers are of 3 types:Private  It can neither be accessed nor be viewed from outside the classProtected  It can be accessed if and only if the accessor is the derived classPublic  It can be accessed or be viewed from outside the class,
Can you compile a program without the main function?,"Yes, it is absolutely possible to compile a program without a main(). For example Use Macros that defines the main",
What is STL?,"STL is known as Standard Template Library, it is a library that provides 4 components like container, algorithms, and iterators.",
Define inline function. Can we have a recursive inline function in C++?,An inline function is a form of request not an order to a compiler which results in the inlining of our function to the main function body. An inline function can become overhead if the execution time of the function is less than the switching time from the caller function to called function. To make a function inline use the keyword inline before and define the function before any calls are made to the function.,
What is an abstract class and when do you use it?,"An abstract class is a class that is specifically designed to be used as a base class. An abstract class contains at least one pure virtual function. You declare a pure virtual function by using a pure specifier(= 0) in the declaration of a virtual member function in the class declarationYou cannot use an abstract class as a parameter type, a function return type, or the type of an explicit conversion, nor can you declare an object of an abstract class. However, it can be used to declare pointers and references to an abstract class.An abstract class is used if you want to provide a common, implemented functionality among all the implementations of the component. Abstract classes will allow you to partially implement your class, whereas interfaces would have no implementation for any members whatsoever. In simple words, Abstract Classes are a good fit if you want to provide implementation details to your children but dont want to allow an instance of your class to be directly instantiated.",
What are the static data members and static member functions?,The static data member of a class is a normal data member but preceded with a static keyword. It executes before main() in a program and is initialized to 0 when the first object of the class is created. It is only visible to a defined class but its scope is of a lifetime.The static member function is the member function that is used to access other static data members or other static member functions. It is also defined with a static keyword. We can access the static member function using the class name or class objects.,
What is the main use of the keyword Volatile?,"Just like its name, things can change suddenly and unexpectantly; So it is used to inform the compiler that the value may change anytime. Also, the volatile keyword prevents the compiler from performing optimization on the code. It was intended to be used when interfacing with memory-mapped hardware, signal handlers, and machine code instruction.",
Define storage class in C++ and name some,Storage class is used to define the features(lifetime and visibility) of a variable or function. These features usually help in tracing the existence of a variable during the runtime of a program.,
What is a mutable storage class specifier? How can they be used?,"Just like its name, the mutable storage class specifier is used only on a class data member to make it modifiable even though the member is part of an object declared as const. Static or const, or reference members cannot use the mutable specifier. When we declare a function as const, this pointer passed to the function becomes const.",
Define the Block scope variable.,"So the scope of a variable is a region where a variable is accessible. There are two scope regions, A global and block or local.A block scope variable is also known as a local scope variable. A variable that is defined inside a function (like main) or inside a block (like loops and if blocks) is a local variable. It can be used ONLY inside that particular function/block in which it is declared. a block-scoped variable will not be available outside the block even if the block is inside a function.",
What is the function of the keyword Auto?,"The auto keyword may be used to declare a variable with a complex type in a straightforward fashion. You can use auto to declare a variable if the initialization phrase contains templates, pointers to functions, references to members, etc. With type inference capabilities, we can spend less time having to write out things the compiler already knows. As all the types are deduced in the compiler phase only, the time for compilation increases slightly but it does not affect the runtime of the program.",
Define namespace in C++.,"Namespaces enable us to organize named items that would otherwise have global scope into smaller scopes, allowing us to give them namespace scope. This permits program parts to be organized into distinct logical scopes with names. The namespace provides a place to define or declare identifiers such as variables, methods, and classes.Or we could say that A namespace is a declarative zone that gives the identifiers (names of types, functions, variables, and so on) within it a scope. Namespaces are used to arrange code into logical categories and to avoid name clashes, which might happen when you have many libraries in your code base.",
When is void() return type used?,"The void keyword, when used as a function return type, indicates that the function does not return a value. When used as a parameter list for a function, void indicates that the function takes no parameters. Non-Value Returning functions are also known as void functions. Theyre called void since theyre not designed to return anything. True, but only partially. We cant return values from void functions, but we can certainly return something. Although void functions have no return type, they can return values.",
What is the difference between shallow copy and deep copy?,"In Shallow copy, a copy of the original object is stored and only the reference address is finally copied. In simple terms, Shallow copy duplicates as little as possibleIn Deep copy, the copy of the original object and the repetitive copies both are stored. In simple terms, Deep copy duplicates everythingA shallow copy of a collection is a copy of the collection structure, not the elements. With a shallow copy, two collections now share individual elements.A deep copy of a collection is two collections with all of the elements in the original collection duplicated.A shallow copy is fasterDeep copy is comparatively slower.",
Can we call a virtual function from a constructor?,"Yes, we can call a virtual function from a constructor. But it can throw an exception of overriding.",
What are void pointers?,"Just like its name a void pointer is a pointer that is not associated with anything or with any data type. Nevertheless, a void pointer can hold the address value of any type and can be converted from one data type to another.",
What is this pointer in C++?,this pointer enables every object to have access to its own address through an essential pointer. All member functions take this pointer as an implicit argument. this pointer may be used to refer to the calling object within a member function.this pointer is used to pass an object as a parameter to another method.Each object gets its own copy of the data member.this pointer is used to declare indexers.,
What is a Class in C++?,A Class in C++ is a data type defined by the user. It is a fundamental data type in C++ that defines the behavior and attributes of the entity.,
Define and Object in C++,"An Object in C++ is an instance of a class. It is an entity that exhibits behavior and state, defined by the Class that it is part of.",
What are the various data types available in C++?,"There are four different data types in C++. They are:Enumeration. E.g., enum.Primitive Datatype(basic datatype). E.g., float, char, short, int, long, bool, double, etc.User-defined data types. E.g., structure, union, class, etc.Derived datatype. E.g., pointer, array, reference, pointers, etc.",
What are some advantages of using C++ to build software programs and applications?,"The advantages of C++ are:The programming language is general-purpose and can perform various functions and activities.Code developed using C++ can be used in any platform and OS.C++ comprises an extensive library of functions that help perform a wide array of tasks.C++ allows for data hiding, a feature that enables programmers to secure data and programs.",
What concepts of OPPs does C++ exhibit?,"This is another popular C++ interview question asked at software engineering interviews. C++ is fundamentally Object-Oriented Programming (OOP). The OOP concepts that C++ exhibits include are:Objects, Classes, Inheritance, Polymorphism, Encapsulation, Abstraction and Data Binding.",
What do you understand by Inheritance in C++?,"Inheritance is a feature in C++ that allows the reusability of functions in a class, thereby preventing code redundancy. It is a core feature of the Object-Oriented Programming model. Through inheritance, a new class is enabled to inherit the characteristics of an older class. When this happens, the new class is called the Derived Class, while the new class is called the Base class.",
What is encapsulation in C++?,This is a standard C++ interview question in C++ software developer interviews and FAANG+ software engineer interviews. Encapsulation is a core feature in C++ that binds the data members and functions in a single unit. Data and information within the class are wrapped and made visible when a request is sent. External methods are prevented from accessing the data within the class through encapsulation.,
What is abstraction in C++?,"Abstraction is a core feature in C++ that allows developers only to show the required details while hiding the details on the implementation. If the members of a class are public, they are visible and accessible by external methods and functions.",
Explain Polymorphism in C++,Polymorphism is a feature in which multiple functions have the same definition but can perform different functionalities. Static polymorphism and dynamic polymorphism are the two types of polymorphism in C++.,
State the basis by which Method Overloading can be performed in C++?,"In C++, method overloading is a technique through which multiple functions can have the same name but perform different actions. Method overloading in C++ is dependent on the following aspects:The number of parameters that are used to pass the function.The different types of parameters that are passed.The return type of the function",
What do you understand about Namespace in C++?,"A namespace is a provision in C++ to prevent naming conflicts while running batches of code. Namespace removes the ambiguity in task execution, where different tasks can sometimes run with the same name.C++ has a standard Namespace called \xe2\x80\x9cstd,\xe2\x80\x9d and various classes, functions, and methods are contained within the Namespace.",
What is the difference between the commands delete and delete[],"The difference between delete and delete[] commands in C++ is that delete is used to remove a unit of memory in a class, delete[] is used to remove an entire array.",
What are access specifiers in C++,"This gain is a common C++ interview question asked in developer interviews. Access specifiers in C++ declare how functions and class variables contained within a class are accessed. There are three fundamental access specifiers in C++. They are:Private: In this type of access specifier, functions and variables can only be accessed by methods within the class.Public: In this type of access specifier, functions and variables can be accessed by outside classes.Protected: In this type, the child class can only access variables and functions, which is a subset of the parent class. This type of class is relevant while employing the concept of inheritance in OOP.",
Name the ways by which you can export a function from DLL,You can export a function from DLL by:Taking a function reference from the DLL instance. Employing DLL Type Library,
What is a friend function in C++?,"A friend function in C++ is a function type that behaves as a friend of a given class and can access the protected and private members (functions and variables) of the class. A friend function isn't a member of the class in question, but it needs to be specified in the class definition.",
What are some characteristics of the friend function in C++?,"This is another common C++ interview question asked in technical interviews. Some characteristics of the friend function include:It uses objects in the class as arguments.Friend functions cannot be called by objects within the class, as these functions aren't contained within the class.The friend function cannot directly access private members of a class. The function has to use the object name and a dot operator every time a member from the class needs to be accessed.",
What is Data Binding in C++ and OPP models?,"Data Binding is a core feature in C++ that allows developers to bind the business logic and application UI. If any changes are made to the program business logic, the same will reflect in the application UI.",
What is the fundamental difference between arrays and lists in the OOP model?,"Arrays and lists are common data types used in Object-Oriented Programming to build software programs and applications. The fundamental difference between the two Arrays is a collection of homogeneous elements, while lists are a collection of heterogeneous elements.Additionally, the memory allocation for arrays is continuous and static, while the memory allocation for lists is random and dynamic.",
What is a Virtual Function in C++?,"A Virtual Function in C++ is fundamentally a member function present in the base class and defined by the derived class. When a function in C++ is virtual, the program decides when the function must be called, depending on the type of the object pointed by the base pointer. C++ can execute different versions of a virtual function.",
What are some rules to be followed when working with virtual functions in C++?,A virtual function can be a friend function of another class.Virtual functions cannot be static members of the class.Virtual functions need to be members of the same class and need to be contained within the class.These functions are called by using Object Pointers,
What is overloading in C++? What are the types of overloading in C++?,"Overloading in C++ is when a particular object of a class exhibits multiple behavioral features. The object, during overloading, returns different versions of the function.The two types of overloading are Function Overloading and Operator Overloading.",
Is it possible to have a recursive inline function in C++?,"While it is possible to call an inline function in C++, the compiler won't generate the code without a good optimizer. That way, you're able to execute both recursive and non-recursive functions depending on the depth of recursion.",
